Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
Ken Lonsdale,48,12,14175.229000000001,3,4,4,Loyal Customers
Khloe Miller,16,5,453.538,4,2,1,New / Occasional
Kimberly Carter,58,4,1146.05,3,1,1,New / Occasional
Kristen Hastings,3,7,5990.799,4,3,4,Loyal Customers
Kristina Nunn,99,8,2280.58,2,4,3,Needs Attention
Kunst Miller,29,8,4909.472,4,4,4,Champions
Larry Blacks,49,3,50.188,3,1,1,New / Occasional
Larry Hughes,152,3,287.426,2,1,1,At Risk / Lost
Larry Tron,27,3,329.876,4,1,1,New / Occasional
Laura Armstrong,155,11,8673.222,2,4,4,Needs Attention
Laurel Beltran,153,8,4985.676,2,4,4,Needs Attention
Laurel Elliston,22,6,1469.45,4,2,2,New / Occasional
Laurel Workman,89,5,2238.061,2,2,2,At Risk / Lost
Lauren Leatherbury,250,6,2741.2039999999997,1,2,3,Needs Attention
Lela Donovan,553,1,5.304,1,1,1,At Risk / Lost
Lena Cacioppo,28,8,2580.7039999999997,4,4,3,Loyal Customers
Lena Creighton,17,12,7663.126,4,4,4,Champions
Lena Hernandez,22,9,2295.332,4,4,3,Loyal Customers
Lena Radford,27,6,5142.892,4,2,4,New / Occasional
Linda Cazamias,42,8,4492.946,3,4,4,Loyal Customers
Linda Southworth,179,6,2845.27,2,2,3,Needs Attention
Lindsay Castell,437,4,3246.626,1,1,3,Needs Attention
Lindsay Shagiari,21,9,2988.674,4,4,3,Loyal Customers
Lindsay Williams,34,6,3230.308,3,2,3,New / Occasional
Lisa DeCherney,415,4,1961.934,1,1,2,At Risk / Lost
Lisa Hazard,240,4,318.239,1,1,1,At Risk / Lost
Lisa Ryan,133,5,1879.306,2,2,2,At Risk / Lost
Liz Carlisle,55,5,2095.064,3,2,2,New / Occasional
Liz MacKendrick,392,5,1346.774,1,2,2,At Risk / Lost
Liz Pelletier,41,4,756.606,3,1,1,New / Occasional
Liz Preis,10,7,3653.399,4,3,3,Loyal Customers
Liz Thompson,35,8,2936.252,3,4,3,Loyal Customers
Liz Willingham,206,3,1259.04,1,1,2,At Risk / Lost
Logan Currie,14,9,2633.582,4,4,3,Loyal Customers
Logan Haushalter,386,9,1739.689,1,4,2,Needs Attention
Lori Olson,3,5,644.35,4,2,1,New / Occasional
Luke Foster,23,7,3930.5089999999996,4,3,4,Loyal Customers
Luke Schmidt,97,6,1010.2560000000001,2,2,1,At Risk / Lost
Luke Weiss,22,7,5420.514,4,3,4,Loyal Customers
Lycoris Saunders,777,3,368.88000000000005,1,1,1,At Risk / Lost
Lynn Smith,35,6,1008.1360000000001,3,2,1,New / Occasional
Magdelene Morse,169,4,1314.023,2,1,2,At Risk / Lost
Marc Crier,77,8,2725.982,2,4,3,Needs Attention
Marc Harrigan,120,6,2394.025,2,2,3,Needs Attention
Maria Bertelson,49,10,1548.702,3,4,2,Loyal Customers
Maria Etezadi,43,10,10663.728000000001,3,4,4,Loyal Customers
Maria Zettner,31,4,593.606,4,1,1,New / Occasional
Maribeth Dona,118,7,3766.382,2,3,3,Needs Attention
Maribeth Schnelling,274,10,7443.6900000000005,1,4,4,Needs Attention
Maribeth Yedwab,30,7,2254.285,4,3,2,Loyal Customers
Marina Lichtenstein,70,9,2722.843,3,4,3,Loyal Customers
Maris LaWare,55,6,2921.5,3,3,3,Loyal Customers
Mark Cousins,400,5,4432.138,1,2,4,Needs Attention
Mark Haberlin,377,4,400.016,1,1,1,At Risk / Lost
Mark Hamilton,86,8,2456.1820000000002,2,4,3,Needs Attention
Mark Packer,719,7,3206.132,1,3,3,Needs Attention
Mark Van Huff,28,9,1560.05,4,4,2,Loyal Customers
Mary O'Rourke,73,4,922.487,3,1,1,New / Occasional
Mary Zewe,283,6,2564.906,1,3,3,Needs Attention
MaryBeth Skach,435,4,475.65599999999995,1,1,1,At Risk / Lost
Mathew Reese,126,4,639.178,2,1,1,At Risk / Lost
Matt Abelman,65,11,4299.161,3,4,4,Loyal Customers
Matt Collins,28,8,1303.893,4,4,2,Loyal Customers
Matt Collister,52,6,2426.067,3,3,3,Loyal Customers
Matt Connell,113,8,2258.192,2,4,3,Needs Attention
Matt Hagelstein,156,4,1252.8,2,1,2,At Risk / Lost
Matthew Clasen,190,4,795.154,1,1,1,At Risk / Lost
Matthew Grinstein,30,7,3785.276,4,3,3,Loyal Customers
Maureen Fritzler,422,5,937.039,1,2,1,At Risk / Lost
Maureen Gastineau,93,4,2350.188,2,1,3,Needs Attention
Maureen Gnade,556,3,1342.282,1,1,2,At Risk / Lost
Maurice Satty,414,6,1613.402,1,3,2,Needs Attention
Max Engle,29,8,1908.4532,4,4,2,Loyal Customers
Max Jones,23,7,6320.746,4,3,4,Loyal Customers
Max Ludwig,30,7,2071.9139999999998,4,3,2,Loyal Customers
Maxwell Schwartz,122,9,3144.678,2,4,3,Needs Attention
Maya Herman,99,7,2203.7780000000002,2,3,2,Needs Attention
Meg O'Connel,105,8,1687.0269999999998,2,4,2,Needs Attention
Meg Tillman,50,6,2890.139,3,3,3,Loyal Customers
Melanie Seite,453,4,370.348,1,1,1,At Risk / Lost
Michael Chen,2,7,3805.714,4,3,4,Loyal Customers
Michael Dominguez,37,5,1204.91,3,2,2,New / Occasional
Michael Grace,117,5,1242.8329999999999,2,2,2,At Risk / Lost
Michael Granlund,100,9,776.384,2,4,1,Needs Attention
Michael Kennedy,29,8,2302.368,4,4,3,Loyal Customers
Michael Moore,8,11,3794.0800000000004,4,4,4,Champions
Michael Nguyen,35,6,2477.946,3,3,3,Loyal Customers
Michael Oakman,181,2,154.288,2,1,1,At Risk / Lost
Michael Paige,73,9,3983.6420000000003,3,4,4,Loyal Customers
Michael Stewart,27,6,855.116,4,3,1,Loyal Customers
Michelle Arnett,187,6,2453.284,1,3,3,Needs Attention
Michelle Ellison,93,4,1256.944,2,1,2,At Risk / Lost
Michelle Huthwaite,50,5,2984.948,3,2,3,New / Occasional
Michelle Lonsdale,80,3,742.082,2,1,1,At Risk / Lost
Michelle Moray,62,8,2749.881,3,4,3,Loyal Customers
Michelle Tran,204,4,1319.4498,1,1,2,At Risk / Lost
Mick Brown,45,7,1428.231,3,3,2,Loyal Customers
Mick Crebagga,42,10,2218.98,3,4,2,Loyal Customers
Mick Hernandez,6,9,5503.093,4,4,4,Champions
Mike Caudle,370,5,1581.9979999999998,1,2,2,At Risk / Lost
Mike Gockenbach,85,4,3061.543,2,1,3,Needs Attention
Mike Kennedy,241,4,1031.602,1,1,1,At Risk / Lost
Mike Pelletier,17,9,5087.92,4,4,4,Champions
Mike Vittorini,20,7,1734.574,4,3,2,Loyal Customers
Mitch Gastineau,265,1,16.739,1,1,1,At Risk / Lost
Mitch Webber,18,7,5341.900000000001,4,3,4,Loyal Customers
Mitch Willingham,45,2,5253.876,3,1,4,New / Occasional
Monica Federle,8,5,1758.3,4,2,2,New / Occasional
Muhammed Lee,101,2,162.232,2,1,1,At Risk / Lost
Muhammed MacIntyre,86,9,775.414,2,4,1,Needs Attention
Muhammed Yedwab,72,11,4152.696,3,4,4,Loyal Customers
Nancy Lomonaco,59,4,1418.0900000000001,3,1,2,New / Occasional
Naresj Patel,26,6,5529.62,4,3,4,Loyal Customers
Nat Carroll,225,5,2461.404,1,2,3,Needs Attention
Nat Gilpin,49,5,1869.58,3,2,2,New / Occasional
Natalie DeCherney,28,9,4326.139,4,4,4,Champions
Natalie Fritzler,80,7,8322.826,2,3,4,Needs Attention
Natalie Webber,173,7,7234.014,2,3,4,Needs Attention
Nathan Cano,42,6,2218.9900000000002,3,3,2,Loyal Customers
Nathan Gelder,49,5,1395.9379999999999,3,2,2,New / Occasional
Nathan Mautz,161,7,6459.344,2,3,4,Needs Attention
Neil Ducich,184,6,2893.455,2,3,3,Needs Attention
Neil Französisch,526,4,377.16200000000003,1,1,1,At Risk / Lost
Neil Knudson,71,7,572.048,3,3,1,Loyal Customers
Neola Schneider,7,4,2575.863,4,1,3,New / Occasional
Neoma Murray,245,10,2161.979,1,4,2,Needs Attention
Nick Crebassa,7,7,8241.739,4,3,4,Loyal Customers
Nick Radford,211,5,2367.277,1,2,3,Needs Attention
Nick Zandusky,86,9,2488.31,2,4,3,Needs Attention
Nicole Brennan,1166,2,273.87199999999996,1,1,1,At Risk / Lost
Nicole Fjeld,115,7,2031.472,2,3,2,Needs Attention
Nicole Hansen,190,7,2673.29,1,3,3,Needs Attention
Noah Childs,205,5,1821.742,1,2,2,At Risk / Lost
Noel Staavos,175,13,2964.823,2,4,3,Needs Attention
Nona Balk,20,9,1972.599,4,4,2,Loyal Customers
Nora Paige,59,5,3908.402,3,2,4,New / Occasional
Nora Pelletier,407,6,1228.698,1,3,2,Needs Attention
Nora Preis,139,7,7903.1825,2,3,4,Needs Attention
Odella Nelson,411,9,1567.52,1,4,2,Needs Attention
Olvera Toch,66,5,3818.624,3,2,4,New / Occasional
Pamela Coakley,3,4,1832.064,4,1,2,New / Occasional
Pamela Stobb,108,6,2181.479,2,3,2,Needs Attention
Parhena Norris,31,8,1467.152,4,4,2,Loyal Customers
Patricia Hirasaki,71,1,729.648,3,1,1,New / Occasional
Patrick Bzostek,26,3,740.356,4,1,1,New / Occasional
Patrick Gardner,37,13,3086.907,3,4,3,Loyal Customers
Patrick Jones,40,8,1220.09,3,4,2,Loyal Customers
Patrick O'Brill,5,11,7473.8282,4,4,4,Champions
Patrick O'Donnell,1,7,2493.214,4,3,3,Loyal Customers
Patrick Ryan,37,5,1840.178,3,2,2,New / Occasional
Paul Gonzalez,58,9,1987.164,3,4,2,Loyal Customers
Paul Knutson,484,2,1441.152,1,1,2,At Risk / Lost
Paul Lucas,16,5,239.481,4,2,1,New / Occasional
Paul MacIntyre,387,3,1405.402,1,1,2,At Risk / Lost
Paul Prost,98,10,7252.608,2,4,4,Needs Attention
Paul Stevenson,70,8,1278.639,3,4,2,Loyal Customers
Paul Van Hugh,90,5,2876.046,2,2,3,Needs Attention
Pauline Chand,882,2,1061.488,1,1,1,At Risk / Lost
Pauline Johnson,135,7,1824.2340000000002,2,3,2,Needs Attention
Pauline Webber,47,10,3454.916,3,4,3,Loyal Customers
Penelope Sewall,237,7,6843.634,1,3,4,Needs Attention
Pete Armstrong,104,6,729.408,2,3,1,Needs Attention
Pete Kriz,10,12,8646.934,4,4,4,Champions
Pete Takahito,72,4,160.572,3,1,1,New / Occasional
Peter Bühler,58,4,688.324,3,1,1,New / Occasional
Peter Fuller,835,4,9062.864,1,1,4,Needs Attention
Peter McVee,52,4,4115.662,3,1,4,New / Occasional
Philip Brown,98,8,1456.95,2,4,2,Needs Attention
Philip Fox,197,6,2770.0,1,3,3,Needs Attention
Philisse Overcash,161,9,4893.043,2,4,4,Needs Attention
Phillina Ober,87,5,1056.858,2,2,1,At Risk / Lost
Phillip Breyer,688,2,132.738,1,1,1,At Risk / Lost
Phillip Flathmann,115,5,2206.1279999999997,2,2,2,At Risk / Lost
Pierre Wener,465,7,3922.4150000000004,1,3,4,Needs Attention
Quincy Jones,26,9,6108.338,4,4,4,Champions
Rachel Payne,497,4,954.6452,1,1,1,At Risk / Lost
Ralph Arnett,6,9,2617.906,4,4,3,Loyal Customers
Ralph Kennedy,120,3,1460.192,2,1,2,At Risk / Lost
Ralph Ritter,20,2,615.932,4,1,1,New / Occasional
Randy Bradley,69,2,1008.1959999999999,3,1,1,New / Occasional
Randy Ferguson,391,8,3309.15,1,4,3,Needs Attention
Raymond Buch,97,6,15117.339,2,3,4,Needs Attention
Raymond Messe,346,6,1453.474,1,3,2,Needs Attention
Resi Pölking,34,12,5153.084,3,4,4,Loyal Customers
Ricardo Emerson,1098,1,48.36,1,1,1,At Risk / Lost
Ricardo Sperren,77,5,3221.29,2,2,3,Needs Attention
Richard Bierner,20,8,2663.0860000000002,4,4,3,Loyal Customers
Richard Eichhorn,303,5,876.696,1,2,1,At Risk / Lost
Rick Bensley,10,12,4715.466,4,4,4,Champions
Rick Duston,73,8,4272.93,3,4,4,Loyal Customers
Rick Hansen,33,5,3621.3759999999997,3,2,3,New / Occasional
Rick Huthwaite,468,6,6979.18,1,3,4,Needs Attention
Rick Reed,171,6,3302.2619999999997,2,3,3,Needs Attention
Rick Wilson,121,7,7397.401,2,3,4,Needs Attention
Ritsa Hightower,520,2,740.382,1,1,1,At Risk / Lost
Rob Beeghly,26,5,528.546,4,2,1,New / Occasional
Rob Dowd,181,10,2912.8940000000002,2,4,3,Needs Attention
Rob Haberlin,535,3,2085.7400000000002,1,1,2,At Risk / Lost
Rob Lucas,122,8,6234.91,2,4,4,Needs Attention
Rob Williams,90,9,3279.746,2,4,3,Needs Attention
Robert Barroso,649,5,221.084,1,2,1,At Risk / Lost
Robert Dilbeck,115,5,2786.632,2,2,3,Needs Attention
Robert Marley,7,5,5979.0960000000005,4,2,4,New / Occasional
Robert Waldorf,80,5,3495.646,2,2,3,Needs Attention
Roger Barcio,55,4,2067.45,3,1,2,New / Occasional
Roger Demir,22,10,1419.737,4,4,2,Loyal Customers
Roland Fjeld,90,7,2341.2960000000003,2,3,3,Needs Attention
Roland Murray,300,1,98.35,1,1,1,At Risk / Lost
Roland Schwarz,37,8,4159.7699999999995,3,4,4,Loyal Customers
Rose O'Brian,36,7,3815.478,3,3,4,Loyal Customers
Ross Baird,33,8,5633.316000000001,3,4,4,Loyal Customers
Ross DeVincentis,15,8,1137.616,4,4,1,Loyal Customers
Roy Collins,370,6,966.409,1,3,1,Needs Attention
Roy Französisch,7,8,945.222,4,4,1,Loyal Customers
Roy Phan,29,8,2170.716,4,4,2,Loyal Customers
Roy Skaria,20,2,22.328,4,1,1,New / Occasional
Ruben Ausman,44,7,3832.314,3,3,4,Loyal Customers
Ruben Dartt,115,9,3133.924,2,4,3,Needs Attention
Russell Applegate,13,9,4793.543,4,4,4,Champions
Russell D'Ascenzo,43,4,970.9420000000001,3,1,1,New / Occasional
Ryan Akin,62,5,1686.9225,3,2,2,New / Occasional
Ryan Crowe,111,6,885.752,2,3,1,Needs Attention
Sally Hughsby,30,13,3406.8395,4,4,3,Loyal Customers
Sally Knutson,9,3,883.409,4,1,1,New / Occasional
Sally Matthias,422,4,244.49399999999997,1,1,1,At Risk / Lost
Sam Craven,781,5,3362.9636,1,2,3,Needs Attention
Sam Zeldin,36,11,3625.329,3,4,3,Loyal Customers
Sample Company A,41,9,4624.572,3,4,4,Loyal Customers
Sandra Flanagan,60,7,763.5459999999999,3,3,1,Loyal Customers
Sandra Glassco,9,3,3406.5809999999997,4,1,3,New / Occasional
Sanjit Chand,350,9,14142.333999999999,1,4,4,Needs Attention
Sanjit Engle,10,11,12209.438000000002,4,4,4,Champions
Sanjit Jacobs,96,12,3949.656,2,4,4,Needs Attention
Saphhira Shifley,16,8,1324.028,4,4,2,Loyal Customers
Sara Luxemburg,71,7,3053.012,3,3,3,Loyal Customers
Sarah Bern,202,3,1348.02,1,1,2,At Risk / Lost
Sarah Brown,189,6,6410.996,1,3,4,Needs Attention
Sarah Foster,60,9,3422.7859999999996,3,4,3,Loyal Customers
Sarah Jordon,30,6,1341.036,4,3,2,Loyal Customers
Scot Coram,150,4,4371.9580000000005,2,1,4,Needs Attention
Scot Wooten,82,7,1085.078,2,3,1,Needs Attention
Scott Cohen,188,8,3729.7929999999997,1,4,3,Needs Attention
Scott Williamson,31,6,1966.65,4,3,2,Loyal Customers
Sean Braxton,48,7,8057.891,3,3,4,Loyal Customers
Sean Christensen,30,7,3979.065,4,3,4,Loyal Customers
Sean Miller,80,5,25043.05,2,2,4,Needs Attention
Sean O'Donnell,30,6,2602.5755,4,3,3,Loyal Customers
Sean Wendt,163,3,1019.044,2,1,1,At Risk / Lost
Seth Vernon,102,10,11470.949999999999,2,4,4,Needs Attention
Shahid Collister,31,9,5992.536,4,4,4,Champions
Shahid Hopkins,24,10,2180.718,4,4,2,Loyal Customers
Shahid Shariari,111,6,3056.8070000000002,2,3,3,Needs Attention
Sharelle Roach,9,5,3233.481,4,2,3,New / Occasional
Shaun Chance,37,7,1874.998,3,3,2,Loyal Customers
Shaun Weien,163,7,2921.544,2,3,3,Needs Attention
Sheri Gordon,184,8,1884.798,2,4,2,Needs Attention
Shirley Daniels,201,9,6121.114,1,4,4,Needs Attention
Shirley Jackson,254,5,1318.776,1,2,2,At Risk / Lost
Shirley Schmidt,492,3,613.4,1,1,1,At Risk / Lost
Shui Tom,126,7,433.34000000000003,2,3,1,Needs Attention
Sibella Parks,328,6,1306.086,1,3,2,Needs Attention
Skye Norling,112,6,1860.418,2,3,2,Needs Attention
Sonia Cooley,93,5,902.7280000000001,2,2,1,At Risk / Lost
Sonia Sunley,433,6,418.49,1,3,1,Needs Attention
Speros Goranitis,109,6,3124.832,2,3,3,Needs Attention
Stefania Perrino,48,9,5440.319,3,4,4,Loyal Customers
Stefanie Holloman,765,2,2096.392,1,1,2,At Risk / Lost
Stephanie Phelps,387,9,1872.4360000000001,1,4,2,Needs Attention
Stephanie Ulpright,21,7,2595.364,4,3,3,Loyal Customers
Steve Carroll,127,6,1254.64,2,3,2,Needs Attention
Steve Chapman,90,10,2576.408,2,4,3,Needs Attention
Steve Nguyen,80,7,3127.9592,2,3,3,Needs Attention
Steven Cartwright,188,11,5226.21,1,4,4,Needs Attention
Steven Roelle,197,8,4345.8859999999995,1,4,4,Needs Attention
Steven Ward,535,2,758.6959999999999,1,1,1,At Risk / Lost
Stewart Carmichael,42,7,4492.657,3,3,4,Loyal Customers
Stewart Visinsky,321,9,4105.305,1,4,4,Needs Attention
Stuart Calhoun,31,4,279.25600000000003,4,1,1,New / Occasional
Stuart Van,77,4,1271.0900000000001,2,1,2,At Risk / Lost
Sue Ann Reed,64,10,4767.3415,3,4,4,Loyal Customers
Sung Chung,132,2,280.632,2,1,1,At Risk / Lost
Sung Pak,80,10,4282.94,2,4,4,Needs Attention
Sung Shariari,121,5,964.636,2,2,1,At Risk / Lost
Susan Gilcrest,227,3,47.946,1,1,1,At Risk / Lost
Susan MacKendrick,607,1,1043.041,1,1,1,At Risk / Lost
Susan Pistek,71,6,3990.689,3,3,4,Loyal Customers
Susan Vittorini,3,8,1903.491,4,4,2,Loyal Customers
Suzanne McNair,26,12,5563.392,4,4,4,Champions
Sylvia Foulston,49,9,3336.535,3,4,3,Loyal Customers
Tamara Chand,400,5,19052.218,1,2,4,Needs Attention
Tamara Dahlen,38,9,1434.5480000000002,3,4,2,Loyal Customers
Tamara Manning,104,8,2955.2259999999997,2,4,3,Needs Attention
Tamara Willingham,65,7,5278.826,3,3,4,Loyal Customers
Tanja Norvell,91,7,3130.221,2,3,3,Needs Attention
Ted Butterfield,120,5,1467.881,2,2,2,At Risk / Lost
Ted Trevino,32,7,4915.602,3,3,4,Loyal Customers
Thais Sissman,358,2,4.833,1,1,1,At Risk / Lost
Thea Hendricks,345,5,2422.824,1,2,3,Needs Attention
Thea Hudgings,59,4,2942.772,3,1,3,New / Occasional
Theone Pippenger,9,9,4454.0560000000005,4,4,4,Champions
Theresa Coyne,107,1,1038.26,2,1,1,At Risk / Lost
Theresa Swint,505,6,2163.6240000000003,1,3,2,Needs Attention
Thomas Boland,59,4,3589.296,3,1,3,New / Occasional
Thomas Brumley,50,4,816.1740000000001,3,1,1,New / Occasional
Thomas Seio,199,7,5371.09,1,3,4,Needs Attention
Thomas Thornton,184,8,1427.0439999999999,2,4,2,Needs Attention
Tiffany House,118,8,1022.201,2,4,1,Needs Attention
Tim Brockman,350,7,1602.376,1,3,2,Needs Attention
Tim Taslimi,407,3,439.5,1,1,1,At Risk / Lost
Toby Braunhardt,584,6,2198.45,1,3,2,Needs Attention
Toby Carlisle,28,8,4266.812,4,4,4,Champions
Toby Gnade,338,5,3058.372,1,2,3,Needs Attention
Toby Ritter,194,5,675.9419999999999,1,2,1,At Risk / Lost
Toby Swindell,227,5,974.7819999999999,1,2,1,At Risk / Lost
Todd Boyes,147,5,834.328,2,2,1,At Risk / Lost
Todd Sumrall,37,6,11891.751,3,3,4,Loyal Customers
Tom Ashbrook,70,4,14595.62,3,1,4,New / Occasional
Tom Boeckenhauer,203,7,9133.99,1,3,4,Needs Attention
Tom Prescott,105,5,5329.0048,2,2,4,Needs Attention
Tom Stivers,173,5,2054.14,2,2,2,At Risk / Lost
Tonja Turnell,13,7,5364.808,4,3,4,Loyal Customers
Tony Chapman,154,9,1244.976,2,4,2,Needs Attention
Tony Molinari,131,3,1094.6779999999999,2,1,1,At Risk / Lost
Tony Sayre,12,6,2243.274,4,3,2,Loyal Customers
Tracy Blumstein,108,9,4737.486,2,4,4,Needs Attention
Tracy Collins,5,7,742.5580000000001,4,3,1,Loyal Customers
Tracy Hopkins,73,7,4234.0960000000005,3,3,4,Loyal Customers
Tracy Poddar,351,4,1936.6399999999999,1,1,2,At Risk / Lost
Tracy Zic,36,4,1707.286,3,1,2,New / Occasional
Troy Blackwell,286,5,1387.559,1,2,2,At Risk / Lost
Troy Staebel,56,7,2820.424,3,3,3,Loyal Customers
Trudy Brown,31,9,2797.668,4,4,3,Loyal Customers
Trudy Glocke,115,4,2074.661,2,1,2,At Risk / Lost
Trudy Schmidt,239,5,3368.094,1,2,3,Needs Attention
Valerie Dominguez,582,6,6442.254,1,3,4,Needs Attention
Valerie Mitchum,55,7,2454.866,3,3,3,Loyal Customers
Valerie Takahito,1000,2,1736.596,1,1,2,At Risk / Lost
Vicky Freymann,14,5,847.944,4,2,1,New / Occasional
Victor Preis,31,3,993.9019999999999,4,1,1,New / Occasional
Victoria Brennan,55,6,2005.596,3,3,2,Loyal Customers
Victoria Pisteka,76,7,3360.526,3,3,3,Loyal Customers
Victoria Wilson,29,10,6134.0380000000005,4,4,4,Champions
Vivek Gonzalez,155,6,846.01,2,3,1,Needs Attention
Vivek Grady,287,5,427.372,1,2,1,At Risk / Lost
Vivek Sundaresam,222,4,1055.981,1,1,1,At Risk / Lost
Vivian Mathis,118,5,380.69,2,2,1,At Risk / Lost
William Brown,21,11,6160.102,4,4,4,Champions
Xylona Preis,44,11,2374.658,3,4,3,Loyal Customers
Yana Sorensen,10,8,6720.4439999999995,4,4,4,Champions
Yoseph Carroll,5,5,5454.35,4,2,4,New / Occasional
Zuschuss Carroll,55,13,8025.707,3,4,4,Loyal Customers
Zuschuss Donatelli,203,5,1493.944,1,2,2,At Risk / Lost
